Name,Birthday,What is your favorite programming language?,How do you get your caffeine?,What is your favourite web browser?,What color is your smartphone cover?
Sonsing,2/24/92,C#,Coffee,Safari,White
Tempsoft,7/5/02,Python,Coffee,Internet Explorer,I don't use one
Hatity,2/22/90,C++,Coffee,Google Chrome,Black
Sonsing,4/16/98,PHP,Energy Drinks,Firefox,Black
Stim,9/23/91,Ruby,Energy Drinks,Internet Explorer,Orange
Prodder,4/13/99,C#,Soda,Safari,Brown
Cardguard,6/28/87,Java,Coffee,Other,I don't use one
Andalax,4/8/93,C++,Black Tea,Firefox,Pink
Mat Lam Tam,3/2/04,Python,Espresso,Safari,Purple
Job,11/5/92,Python,Coffee,Chromium,Black
Daltfresh,8/3/92,C#,Coffee,Microsoft Edge,Green
Opela,9/9/92,HTML,Coffee,Other,Orange
Opela,8/1/00,HTML,Coffee,Google Chrome,Green
Matsoft,3/3/04,Java,Coffee,Google Chrome,Black
Andalax,1/29/05,Java,Energy Drinks,Google Chrome,Pink
Stronghold,2/24/04,Python,Other,Other,Pink
Ventosanzap,11/22/96,Python,Espresso,Internet Explorer,Green
Sub-Ex,2/4/97,Python,Energy Drinks,Other,Purple
Ventosanzap,9/13/95,Python,Green Tea,Microsoft Edge,Pink
Tin,11/20/93,PHP,Other,Firefox,It's complicated
Greenlam,2/4/90,C,Black Tea,Firefox,Green
It,6/29/91,C++,Green Tea,Google Chrome,I don't use one
Bytecard,7/5/86,Java,I avoid caffeine,Google Chrome,Orange
Span,7/26/04,Python,Energy Drinks,Google Chrome,Red
Gembucket,10/19/88,C++,Black Tea,Microsoft Edge,It's complicated
Ronstring,6/19/85,HTML,Coffee,Google Chrome,Black
Hatity,10/21/85,C#,Other,Google Chrome,It's complicated
Hatity,5/12/90,PHP,I avoid caffeine,Google Chrome,Brown
Tin,10/24/86,Python,Coffee,Google Chrome,Green
Cardify,2/9/91,C,Coffee,Google Chrome,Orange
Rank,4/18/03,HTML,Green Tea,Google Chrome,Pink
Konklab,2/7/90,Python,Black Tea,Chromium,I don't use one
Stim,12/10/89,JavaScript,I avoid caffeine,Chromium,Blue
Holdlamis,12/16/01,JavaScript,Soda,Firefox,It's complicated
Bigtax,2/10/98,Java,Other,Opera,Yellow
Trippledex,1/24/93,Python,Green Tea,Microsoft Edge,Purple
Konklux,3/11/00,C++,Black Tea,Internet Explorer,Red
Home Ing,12/13/92,C,Energy Drinks,Opera,Orange
Job,9/9/01,Java,Espresso,Internet Explorer,Black
Stronghold,4/17/86,C++,Espresso,Microsoft Edge,It's complicated
Otcom,3/10/01,JavaScript,I avoid caffeine,Other,I don't use one
Temp,11/28/02,Java,Energy Drinks,Google Chrome,It's complicated
Voltsillam,7/22/86,C#,I avoid caffeine,Google Chrome,Green
Job,6/15/99,HTML,Black Tea,Google Chrome,White
Tresom,7/6/00,Python,I avoid caffeine,Google Chrome,It's complicated
Zoolab,10/19/99,PHP,Coffee,Microsoft Edge,Orange
Lotlux,6/28/97,PHP,Energy Drinks,Opera,Black
Latlux,12/23/96,PHP,I avoid caffeine,Chromium,Orange
Voltsillam,9/27/99,Ruby,Espresso,Safari,Brown
Tresom,10/6/92,Ruby,Coffee,Opera,Yellow
Sonsing,4/8/92,C#,Black Tea,Opera,Blue
Opela,1/13/89,C++,Soda,Chromium,Black
Tampflex,10/18/89,C#,Coffee,Google Chrome,Blue
Stronghold,9/11/01,HTML,Coffee,Opera,Brown
Lotstring,3/23/02,Java,Espresso,Google Chrome,Yellow
Zathin,2/24/89,Ruby,Green Tea,Other,Orange
Prodder,6/12/89,C++,Green Tea,Firefox,Blue
Lotlux,4/22/95,Python,Soda,Google Chrome,Green
Job,2/23/04,Python,Espresso,Google Chrome,Pink
Span,3/19/99,Java,Black Tea,Google Chrome,Pink
Otcom,9/16/98,Java,Coffee,Google Chrome,Orange
Tempsoft,4/25/00,Python,Coffee,Opera,Green
Zamit,3/26/88,Python,Coffee,Internet Explorer,Green
Temp,9/16/98,Python,Coffee,Safari,Black
Otcom,3/27/03,Python,I avoid caffeine,Chromium,Blue
Biodex,9/7/86,JavaScript,Soda,Internet Explorer,Purple
Zathin,12/10/93,Ruby,Coffee,Other,Pink
Asoka,9/6/03,Python,Coffee,Google Chrome,Brown
It,3/28/96,Python,Coffee,Google Chrome,White
Gembucket,8/29/88,JavaScript,Coffee,Google Chrome,White
Ventosanzap,7/30/02,JavaScript,Black Tea,Safari,Purple
Stim,4/15/92,PHP,Black Tea,Opera,Green
Ronstring,12/9/00,Python,Espresso,Chromium,Green
Aerified,1/8/03,C#,Coffee,Chromium,Purple
Konklux,1/1/97,Python,Energy Drinks,Chromium,Blue
Span,10/13/91,C#,Energy Drinks,Safari,Yellow
Ronstring,5/20/92,C#,Coffee,Firefox,Green
Domainer,9/12/97,Ruby,Coffee,Microsoft Edge,Green
Toughjoyfax,3/8/89,Python,Coffee,Microsoft Edge,Black
Bytecard,3/22/89,Python,I avoid caffeine,Firefox,I don't use one
Sonair,9/29/91,Python,Coffee,Chromium,Black
Cardguard,3/9/02,HTML,Coffee,Opera,I don't use one
Otcom,11/30/05,PHP,Coffee,Google Chrome,Green
Quo Lux,5/26/95,C++,Coffee,Google Chrome,Pink
Trippledex,1/8/86,Ruby,Green Tea,Google Chrome,Blue
Keylex,3/30/85,Java,Coffee,Internet Explorer,I don't use one
Cardify,5/23/02,C++,Other,Safari,Blue
Bamity,4/8/91,C#,I avoid caffeine,Google Chrome,Brown
